event_id,user_id,session_id,event_ts,event_type,product_id,price
1,1,1,2024-05-11 08:41:41,view,,
2,1,1,2024-05-11 08:43:41,add_to_cart,169.0,29.19
3,1,1,2024-05-11 08:45:41,checkout,169.0,29.19
4,1,2,2024-05-04 07:07:41,view,,
5,1,2,2024-05-04 07:09:41,add_to_cart,177.0,23.37
6,1,2,2024-05-04 07:11:41,checkout,177.0,23.37
7,1,2,2024-05-04 07:13:41,purchase,177.0,23.37
8,2,3,2024-03-08 00:45:39,view,,
9,2,3,2024-03-08 00:47:39,add_to_cart,135.0,30.77
10,2,3,2024-03-08 00:49:39,checkout,135.0,30.77
11,3,4,2024-03-17 20:22:39,view,,
12,3,4,2024-03-17 20:24:39,add_to_cart,105.0,41.81
13,4,5,2024-04-24 00:27:14,view,,
14,4,6,2024-04-25 22:42:14,view,,
15,4,7,2024-04-16 01:34:14,view,,
16,4,8,2024-04-16 10:56:14,view,,
17,4,8,2024-04-16 10:58:14,add_to_cart,158.0,22.6
18,4,9,2024-04-25 08:33:14,view,,
19,4,9,2024-04-25 08:35:14,add_to_cart,134.0,22.6
20,5,10,2024-06-05 01:54:46,view,,
21,5,11,2024-05-21 15:23:46,view,,
22,5,12,2024-06-03 04:37:46,view,,
23,5,12,2024-06-03 04:39:46,add_to_cart,104.0,42.64
24,5,13,2024-05-25 02:41:46,view,,
25,5,13,2024-05-25 02:43:46,add_to_cart,172.0,32.09
26,5,14,2024-05-23 00:48:46,view,,
27,6,15,2024-06-28 14:04:20,view,,
28,6,15,2024-06-28 14:06:20,add_to_cart,174.0,20.82
29,6,16,2024-07-09 08:32:20,view,,
30,6,16,2024-07-09 08:34:20,add_to_cart,117.0,29.66
31,7,17,2024-01-24 14:53:06,view,,
32,7,18,2024-01-31 04:41:06,view,,
33,7,19,2024-02-04 00:14:06,view,,
34,7,20,2024-01-19 14:53:06,view,,
35,7,20,2024-01-19 14:55:06,add_to_cart,168.0,20.86
36,7,21,2024-02-12 13:32:06,view,,
37,7,21,2024-02-12 13:34:06,add_to_cart,155.0,20.84
38,7,21,2024-02-12 13:36:06,checkout,155.0,20.84
39,7,21,2024-02-12 13:38:06,purchase,155.0,20.84
40,7,22,2024-02-03 21:45:06,view,,
