user_id,experiment_name,variant,assigned_ts
1,checkout_redesign,variant,2024-05-04 03:56:41
2,checkout_redesign,variant,2024-02-12 19:19:39
3,checkout_redesign,variant,2024-03-06 08:38:39
4,checkout_redesign,control,2024-04-14 03:00:14
5,checkout_redesign,control,2024-05-12 17:33:46
6,checkout_redesign,variant,2024-06-20 18:55:20
7,checkout_redesign,control,2024-01-18 15:40:06
8,checkout_redesign,control,2024-06-18 00:54:38
9,checkout_redesign,variant,2024-04-04 21:04:03
10,checkout_redesign,control,2024-01-25 22:20:51
11,checkout_redesign,variant,2024-05-06 04:39:04
12,checkout_redesign,control,2024-04-24 06:19:46
13,checkout_redesign,control,2024-01-22 05:13:50
14,checkout_redesign,control,2024-05-21 20:24:05
15,checkout_redesign,control,2024-04-07 15:27:09
16,checkout_redesign,variant,2024-05-10 10:18:11
17,checkout_redesign,control,2024-01-20 09:56:47
18,checkout_redesign,control,2024-01-31 04:26:23
19,checkout_redesign,control,2024-01-29 18:10:01
20,checkout_redesign,control,2024-06-04 07:44:37
21,checkout_redesign,control,2024-01-08 12:28:11
22,checkout_redesign,variant,2024-02-21 13:09:46
23,checkout_redesign,control,2024-01-01 07:52:54
24,checkout_redesign,control,2024-05-15 09:13:36
25,checkout_redesign,variant,2024-03-19 20:26:50
26,checkout_redesign,control,2024-04-30 05:57:52
27,checkout_redesign,variant,2024-06-04 14:52:19
28,checkout_redesign,variant,2024-04-11 05:25:59
29,checkout_redesign,variant,2024-04-23 10:00:26
30,checkout_redesign,variant,2024-06-03 23:36:46
31,checkout_redesign,variant,2024-01-10 18:20:36
32,checkout_redesign,variant,2024-05-25 10:42:21
33,checkout_redesign,variant,2024-01-23 05:05:36
34,checkout_redesign,variant,2024-06-03 14:41:15
35,checkout_redesign,variant,2024-06-09 08:12:07
36,checkout_redesign,variant,2024-03-14 14:13:05
37,checkout_redesign,variant,2024-01-17 14:59:07
38,checkout_redesign,variant,2024-03-09 07:33:21
39,checkout_redesign,control,2024-02-27 12:36:30
40,checkout_redesign,variant,2024-04-01 03:32:53
41,checkout_redesign,control,2024-05-13 07:05:37
42,checkout_redesign,control,2024-02-10 08:21:42
43,checkout_redesign,control,2024-02-24 21:33:47
44,checkout_redesign,variant,2024-04-25 13:06:22
45,checkout_redesign,variant,2024-02-22 20:45:33
46,checkout_redesign,variant,2024-05-28 04:20:44
47,checkout_redesign,variant,2024-03-18 18:14:33
48,checkout_redesign,variant,2024-06-09 04:26:21
49,checkout_redesign,control,2024-04-17 05:40:41
50,checkout_redesign,variant,2024-04-06 18:35:53
51,checkout_redesign,variant,2024-04-22 14:38:19
52,checkout_redesign,control,2024-06-02 20:49:19
53,checkout_redesign,variant,2024-03-29 17:26:21
54,checkout_redesign,control,2024-05-16 16:22:08
55,checkout_redesign,control,2024-06-23 13:13:02
56,checkout_redesign,variant,2024-03-29 17:00:33
57,checkout_redesign,variant,2024-03-09 09:56:04
58,checkout_redesign,variant,2024-06-10 06:16:58
59,checkout_redesign,control,2024-06-05 05:39:00
60,checkout_redesign,control,2024-01-23 15:44:57
61,checkout_redesign,control,2024-02-24 07:41:00
62,checkout_redesign,control,2024-01-10 19:42:46
63,checkout_redesign,control,2024-02-16 04:50:29
64,checkout_redesign,variant,2024-04-09 15:51:44
65,checkout_redesign,variant,2024-03-29 02:28:01
66,checkout_redesign,variant,2024-05-06 09:29:29
67,checkout_redesign,variant,2024-05-10 02:29:17
68,checkout_redesign,variant,2024-04-18 02:35:43
69,checkout_redesign,control,2024-06-27 22:40:34
70,checkout_redesign,control,2024-01-06 22:52:20
71,checkout_redesign,variant,2024-02-25 00:01:27
72,checkout_redesign,variant,2024-02-11 00:25:18
73,checkout_redesign,variant,2024-06-05 13:09:54
74,checkout_redesign,variant,2024-04-13 00:47:51
75,checkout_redesign,control,2024-05-01 06:28:56
76,checkout_redesign,control,2024-04-08 11:06:26
77,checkout_redesign,variant,2024-03-11 15:53:14
78,checkout_redesign,variant,2024-06-27 00:20:53
79,checkout_redesign,variant,2024-06-09 23:13:43
80,checkout_redesign,control,2024-01-30 22:52:11
81,checkout_redesign,control,2024-06-07 14:59:20
82,checkout_redesign,control,2024-01-29 14:41:40
83,checkout_redesign,variant,2024-04-01 17:47:58
84,checkout_redesign,control,2024-01-01 07:17:25
85,checkout_redesign,variant,2024-05-22 07:45:09
86,checkout_redesign,variant,2024-02-05 09:28:37
87,checkout_redesign,variant,2024-06-21 00:04:56
88,checkout_redesign,variant,2024-05-21 04:26:40
89,checkout_redesign,control,2024-06-04 13:22:40
90,checkout_redesign,control,2024-04-06 21:42:48
91,checkout_redesign,control,2024-06-13 04:24:52
92,checkout_redesign,control,2024-01-15 07:42:11
93,checkout_redesign,variant,2024-04-10 18:14:20
94,checkout_redesign,control,2024-05-19 22:23:31
95,checkout_redesign,variant,2024-02-21 09:23:09
96,checkout_redesign,variant,2024-01-21 14:51:10
97,checkout_redesign,control,2024-03-15 14:16:04
98,checkout_redesign,variant,2024-03-31 15:30:58
99,checkout_redesign,variant,2024-02-16 17:52:36
100,checkout_redesign,control,2024-06-12 15:57:50
101,checkout_redesign,control,2024-05-28 07:49:49
102,checkout_redesign,variant,2024-03-11 23:50:57
103,checkout_redesign,variant,2024-05-17 14:58:00
104,checkout_redesign,variant,2024-06-03 17:08:47
105,checkout_redesign,control,2024-06-12 08:07:22
106,checkout_redesign,variant,2024-01-30 09:43:14
107,checkout_redesign,control,2024-02-13 15:57:22
108,checkout_redesign,control,2024-04-23 22:49:42
109,checkout_redesign,control,2024-01-08 01:21:21
110,checkout_redesign,control,2024-06-02 13:14:39
111,checkout_redesign,variant,2024-06-30 17:15:44
112,checkout_redesign,variant,2024-02-01 00:20:03
113,checkout_redesign,control,2024-04-11 00:58:02
114,checkout_redesign,variant,2024-03-13 17:06:51
115,checkout_redesign,control,2024-03-23 08:34:47
116,checkout_redesign,control,2024-03-27 16:33:58
117,checkout_redesign,variant,2024-04-24 21:22:07
118,checkout_redesign,variant,2024-03-21 20:12:48
119,checkout_redesign,control,2024-06-28 01:53:06
120,checkout_redesign,control,2024-05-16 15:47:57
121,checkout_redesign,control,2024-03-22 02:03:17
122,checkout_redesign,control,2024-05-04 14:30:46
123,checkout_redesign,control,2024-04-29 17:11:18
124,checkout_redesign,variant,2024-04-14 00:43:13
125,checkout_redesign,variant,2024-01-16 08:15:22
126,checkout_redesign,control,2024-01-10 00:59:40
127,checkout_redesign,control,2024-06-29 08:52:15
128,checkout_redesign,variant,2024-03-04 09:01:31
129,checkout_redesign,control,2024-03-02 11:49:39
130,checkout_redesign,variant,2024-03-28 03:45:47
131,checkout_redesign,variant,2024-04-25 21:52:12
132,checkout_redesign,control,2024-05-20 18:01:01
133,checkout_redesign,variant,2024-03-04 23:46:32
134,checkout_redesign,control,2024-01-14 10:18:09
135,checkout_redesign,control,2024-01-22 05:41:54
136,checkout_redesign,control,2024-03-07 23:39:52
137,checkout_redesign,control,2024-03-26 02:00:04
138,checkout_redesign,variant,2024-03-23 19:01:31
139,checkout_redesign,variant,2024-04-05 01:09:38
140,checkout_redesign,control,2024-03-23 03:30:13
141,checkout_redesign,control,2024-01-17 01:16:22
142,checkout_redesign,variant,2024-04-21 05:02:27
143,checkout_redesign,control,2024-04-28 12:01:34
144,checkout_redesign,variant,2024-03-03 20:20:06
145,checkout_redesign,variant,2024-06-19 21:40:48
146,checkout_redesign,control,2024-03-06 14:03:11
147,checkout_redesign,variant,2024-02-02 03:24:10
148,checkout_redesign,control,2024-05-11 11:41:15
149,checkout_redesign,control,2024-02-18 02:46:05
150,checkout_redesign,control,2024-04-25 07:54:48
151,checkout_redesign,control,2024-01-03 16:16:55
152,checkout_redesign,control,2024-03-23 06:00:13
153,checkout_redesign,control,2024-03-01 05:29:40
154,checkout_redesign,control,2024-05-07 18:44:46
155,checkout_redesign,control,2024-05-10 21:37:44
156,checkout_redesign,variant,2024-01-30 03:26:42
157,checkout_redesign,control,2024-01-24 04:26:55
158,checkout_redesign,variant,2024-03-01 07:57:23
159,checkout_redesign,variant,2024-02-29 00:19:12
160,checkout_redesign,control,2024-01-01 06:48:48
161,checkout_redesign,variant,2024-06-23 05:39:45
162,checkout_redesign,variant,2024-03-04 08:26:33
163,checkout_redesign,variant,2024-03-19 22:29:08
164,checkout_redesign,control,2024-03-10 01:52:53
165,checkout_redesign,control,2024-06-10 01:04:47
166,checkout_redesign,variant,2024-05-05 16:32:09
167,checkout_redesign,control,2024-03-16 09:59:16
168,checkout_redesign,control,2024-02-15 04:45:00
169,checkout_redesign,variant,2024-06-11 11:17:23
170,checkout_redesign,control,2024-02-04 11:01:22
171,checkout_redesign,control,2024-03-06 08:29:17
172,checkout_redesign,control,2024-04-19 03:00:14
173,checkout_redesign,control,2024-03-27 17:26:46
174,checkout_redesign,variant,2024-02-02 07:11:35
175,checkout_redesign,control,2024-03-02 21:19:42
176,checkout_redesign,control,2024-03-25 07:31:13
177,checkout_redesign,variant,2024-04-05 07:59:05
178,checkout_redesign,control,2024-05-01 09:08:05
179,checkout_redesign,variant,2024-01-16 21:50:59
180,checkout_redesign,variant,2024-06-07 22:02:41
181,checkout_redesign,variant,2024-03-25 13:04:46
182,checkout_redesign,variant,2024-04-11 11:18:55
183,checkout_redesign,variant,2024-01-20 14:38:58
184,checkout_redesign,variant,2024-01-04 22:17:31
185,checkout_redesign,variant,2024-05-23 21:03:10
186,checkout_redesign,control,2024-05-31 13:28:12
187,checkout_redesign,control,2024-04-08 02:03:34
188,checkout_redesign,control,2024-02-20 05:26:33
189,checkout_redesign,variant,2024-01-02 15:26:37
190,checkout_redesign,variant,2024-05-04 09:23:16
191,checkout_redesign,variant,2024-04-02 09:05:12
192,checkout_redesign,control,2024-05-28 03:27:23
193,checkout_redesign,control,2024-01-23 20:54:05
194,checkout_redesign,variant,2024-03-01 20:36:55
195,checkout_redesign,variant,2024-01-08 07:48:45
196,checkout_redesign,variant,2024-02-18 07:35:59
197,checkout_redesign,variant,2024-04-11 00:43:11
198,checkout_redesign,control,2024-02-19 16:03:50
199,checkout_redesign,control,2024-01-27 15:13:42
200,checkout_redesign,control,2024-05-13 15:15:45
201,checkout_redesign,control,2024-06-11 04:27:50
202,checkout_redesign,variant,2024-01-20 16:02:52
203,checkout_redesign,variant,2024-03-04 19:40:13
204,checkout_redesign,variant,2024-04-28 17:08:12
205,checkout_redesign,variant,2024-05-16 00:56:25
206,checkout_redesign,variant,2024-03-27 19:29:18
207,checkout_redesign,control,2024-05-19 03:52:07
208,checkout_redesign,variant,2024-06-04 07:51:48
209,checkout_redesign,control,2024-04-07 21:43:51
210,checkout_redesign,variant,2024-05-28 00:55:24
211,checkout_redesign,control,2024-04-17 11:52:37
212,checkout_redesign,control,2024-03-23 00:27:47
213,checkout_redesign,variant,2024-02-08 19:36:46
214,checkout_redesign,control,2024-01-11 10:44:11
215,checkout_redesign,variant,2024-02-19 12:27:41
216,checkout_redesign,control,2024-03-05 06:52:54
217,checkout_redesign,variant,2024-01-05 19:08:13
218,checkout_redesign,variant,2024-01-15 00:06:21
219,checkout_redesign,control,2024-01-15 02:17:28
220,checkout_redesign,control,2024-06-03 17:13:09
221,checkout_redesign,control,2024-06-14 08:05:09
222,checkout_redesign,control,2024-04-16 17:37:21
223,checkout_redesign,control,2024-03-04 18:12:13
224,checkout_redesign,variant,2024-02-04 03:08:53
225,checkout_redesign,control,2024-05-29 08:43:58
226,checkout_redesign,variant,2024-05-27 00:50:09
227,checkout_redesign,variant,2024-03-10 16:06:30
228,checkout_redesign,variant,2024-03-29 06:47:31
229,checkout_redesign,control,2024-06-11 02:47:12
230,checkout_redesign,control,2024-01-27 23:38:21
231,checkout_redesign,variant,2024-06-07 15:17:11
232,checkout_redesign,control,2024-04-10 07:43:12
233,checkout_redesign,control,2024-02-14 15:00:35
234,checkout_redesign,control,2024-04-07 22:29:08
235,checkout_redesign,control,2024-06-24 03:33:13
236,checkout_redesign,variant,2024-01-23 21:07:15
237,checkout_redesign,control,2024-05-15 19:01:39
238,checkout_redesign,control,2024-02-25 15:02:36
239,checkout_redesign,control,2024-03-08 14:14:29
240,checkout_redesign,control,2024-05-30 14:33:08
241,checkout_redesign,control,2024-04-02 12:54:33
242,checkout_redesign,variant,2024-06-13 16:00:56
243,checkout_redesign,variant,2024-05-15 14:03:19
244,checkout_redesign,control,2024-04-20 22:57:44
245,checkout_redesign,control,2024-06-15 06:41:16
246,checkout_redesign,control,2024-06-29 22:42:37
247,checkout_redesign,variant,2024-01-29 03:02:31
248,checkout_redesign,control,2024-01-19 13:18:45
249,checkout_redesign,control,2024-01-17 03:58:43
250,checkout_redesign,control,2024-01-25 13:07:16
251,checkout_redesign,variant,2024-03-04 03:32:52
252,checkout_redesign,variant,2024-03-26 19:13:05
253,checkout_redesign,variant,2024-04-25 22:14:20
254,checkout_redesign,variant,2024-02-16 12:26:20
255,checkout_redesign,variant,2024-01-05 07:08:14
256,checkout_redesign,control,2024-01-07 03:54:20
257,checkout_redesign,variant,2024-02-05 06:20:05
258,checkout_redesign,control,2024-03-27 00:20:51
259,checkout_redesign,control,2024-02-08 14:07:09
260,checkout_redesign,control,2024-04-23 12:53:05
261,checkout_redesign,control,2024-04-25 18:33:02
262,checkout_redesign,variant,2024-06-02 16:30:00
263,checkout_redesign,variant,2024-01-27 03:53:50
264,checkout_redesign,variant,2024-05-22 11:05:34
265,checkout_redesign,control,2024-02-09 05:45:23
266,checkout_redesign,variant,2024-05-07 18:08:07
267,checkout_redesign,control,2024-01-03 12:59:08
268,checkout_redesign,control,2024-02-06 18:56:58
269,checkout_redesign,variant,2024-04-26 11:48:35
270,checkout_redesign,variant,2024-06-21 21:12:47
271,checkout_redesign,control,2024-04-09 06:41:52
272,checkout_redesign,variant,2024-04-23 01:02:32
273,checkout_redesign,control,2024-01-19 12:25:43
274,checkout_redesign,control,2024-03-17 06:57:57
275,checkout_redesign,variant,2024-05-30 06:17:11
276,checkout_redesign,variant,2024-02-02 20:47:12
277,checkout_redesign,variant,2024-05-21 17:41:25
278,checkout_redesign,control,2024-04-25 22:43:03
279,checkout_redesign,variant,2024-02-29 05:03:54
280,checkout_redesign,variant,2024-03-23 19:28:15
281,checkout_redesign,control,2024-04-19 16:21:54
282,checkout_redesign,control,2024-04-25 19:14:32
283,checkout_redesign,control,2024-01-03 21:58:17
284,checkout_redesign,variant,2024-01-09 05:40:20
285,checkout_redesign,control,2024-01-05 20:05:55
286,checkout_redesign,control,2024-03-14 12:46:13
287,checkout_redesign,variant,2024-02-04 17:34:46
288,checkout_redesign,variant,2024-04-05 19:43:19
289,checkout_redesign,variant,2024-06-11 17:25:49
290,checkout_redesign,control,2024-02-01 07:52:35
291,checkout_redesign,control,2024-04-28 20:22:37
292,checkout_redesign,variant,2024-04-06 09:22:38
293,checkout_redesign,variant,2024-05-23 04:51:06
294,checkout_redesign,variant,2024-05-28 22:37:51
295,checkout_redesign,variant,2024-04-03 11:55:54
296,checkout_redesign,variant,2024-02-24 11:02:18
297,checkout_redesign,control,2024-06-24 17:23:58
298,checkout_redesign,variant,2024-02-09 20:14:28
299,checkout_redesign,variant,2024-02-22 22:39:38
300,checkout_redesign,variant,2024-02-10 02:43:13
301,checkout_redesign,variant,2024-05-16 20:02:08
302,checkout_redesign,variant,2024-06-20 08:18:00
303,checkout_redesign,control,2024-02-24 19:24:52
304,checkout_redesign,variant,2024-02-15 20:33:32
305,checkout_redesign,control,2024-02-04 05:01:49
306,checkout_redesign,control,2024-04-29 12:46:27
307,checkout_redesign,control,2024-06-30 21:13:43
308,checkout_redesign,variant,2024-05-01 09:42:35
309,checkout_redesign,variant,2024-03-21 18:01:36
310,checkout_redesign,variant,2024-05-14 01:57:01
311,checkout_redesign,control,2024-06-24 11:00:45
312,checkout_redesign,control,2024-04-21 05:43:15
313,checkout_redesign,control,2024-05-07 23:53:16
314,checkout_redesign,variant,2024-03-21 04:28:35
315,checkout_redesign,variant,2024-01-19 21:45:02
316,checkout_redesign,control,2024-05-13 02:39:34
317,checkout_redesign,variant,2024-06-28 04:04:19
318,checkout_redesign,control,2024-02-08 23:11:09
319,checkout_redesign,variant,2024-04-10 01:51:31
320,checkout_redesign,variant,2024-05-05 15:35:07
