user_id,signup_ts,acquisition_channel,country
1,2024-05-04 03:56:41,organic,US
2,2024-02-12 19:19:39,referral,AU
3,2024-03-06 08:38:39,organic,US
4,2024-04-14 03:00:14,organic,CA
5,2024-05-12 17:33:46,organic,AU
6,2024-06-20 18:55:20,referral,IN
7,2024-01-18 15:40:06,organic,US
8,2024-06-18 00:54:38,paid_social,AU
9,2024-04-04 21:04:03,organic,US
10,2024-01-25 22:20:51,referral,AU
11,2024-05-06 04:39:04,paid_social,CA
12,2024-04-24 06:19:46,paid_search,US
13,2024-01-22 05:13:50,paid_search,IN
14,2024-05-21 20:24:05,email,CA
15,2024-04-07 15:27:09,email,IN
16,2024-05-10 10:18:11,paid_social,CA
17,2024-01-20 09:56:47,organic,AU
18,2024-01-31 04:26:23,paid_social,UK
19,2024-01-29 18:10:01,referral,IN
20,2024-06-04 07:44:37,paid_search,CA
21,2024-01-08 12:28:11,referral,IN
22,2024-02-21 13:09:46,organic,US
23,2024-01-01 07:52:54,email,AU
24,2024-05-15 09:13:36,paid_social,AU
25,2024-03-19 20:26:50,email,US
26,2024-04-30 05:57:52,paid_social,US
27,2024-06-04 14:52:19,referral,AU
28,2024-04-11 05:25:59,referral,IN
29,2024-04-23 10:00:26,organic,AU
30,2024-06-03 23:36:46,referral,IN
31,2024-01-10 18:20:36,paid_social,CA
32,2024-05-25 10:42:21,email,US
33,2024-01-23 05:05:36,email,IN
34,2024-06-03 14:41:15,email,US
35,2024-06-09 08:12:07,email,UK
36,2024-03-14 14:13:05,paid_social,US
37,2024-01-17 14:59:07,paid_search,CA
38,2024-03-09 07:33:21,referral,UK
39,2024-02-27 12:36:30,paid_search,UK
40,2024-04-01 03:32:53,referral,CA
41,2024-05-13 07:05:37,organic,IN
42,2024-02-10 08:21:42,paid_search,UK
43,2024-02-24 21:33:47,referral,US
44,2024-04-25 13:06:22,email,UK
45,2024-02-22 20:45:33,email,AU
46,2024-05-28 04:20:44,paid_search,CA
47,2024-03-18 18:14:33,email,US
48,2024-06-09 04:26:21,organic,AU
49,2024-04-17 05:40:41,referral,US
50,2024-04-06 18:35:53,paid_social,AU
51,2024-04-22 14:38:19,referral,IN
52,2024-06-02 20:49:19,paid_search,CA
53,2024-03-29 17:26:21,organic,IN
54,2024-05-16 16:22:08,organic,CA
55,2024-06-23 13:13:02,referral,UK
56,2024-03-29 17:00:33,paid_social,IN
57,2024-03-09 09:56:04,paid_search,IN
58,2024-06-10 06:16:58,paid_search,UK
59,2024-06-05 05:39:00,email,UK
60,2024-01-23 15:44:57,paid_search,US
61,2024-02-24 07:41:00,organic,UK
62,2024-01-10 19:42:46,paid_social,IN
63,2024-02-16 04:50:29,email,UK
64,2024-04-09 15:51:44,email,US
65,2024-03-29 02:28:01,email,AU
66,2024-05-06 09:29:29,email,IN
67,2024-05-10 02:29:17,organic,CA
68,2024-04-18 02:35:43,organic,AU
69,2024-06-27 22:40:34,paid_social,UK
70,2024-01-06 22:52:20,organic,AU
71,2024-02-25 00:01:27,email,CA
72,2024-02-11 00:25:18,paid_search,UK
73,2024-06-05 13:09:54,paid_social,US
74,2024-04-13 00:47:51,email,IN
75,2024-05-01 06:28:56,paid_social,UK
76,2024-04-08 11:06:26,referral,CA
77,2024-03-11 15:53:14,paid_social,UK
78,2024-06-27 00:20:53,paid_social,UK
79,2024-06-09 23:13:43,email,US
80,2024-01-30 22:52:11,paid_search,IN
81,2024-06-07 14:59:20,paid_search,AU
82,2024-01-29 14:41:40,referral,US
83,2024-04-01 17:47:58,paid_search,CA
84,2024-01-01 07:17:25,email,UK
85,2024-05-22 07:45:09,organic,AU
86,2024-02-05 09:28:37,paid_search,US
87,2024-06-21 00:04:56,organic,UK
88,2024-05-21 04:26:40,referral,US
